id,FalseSent,ref1,ref2,ref3
23,زأر كلب على قطة في الشارع.,الزئير ليس من سمات الكلاب.,يمكن للكلب أن ينبح على قطة في الشارع,الكلاب لا تزأر
24,قام بقص السجادة,جزازات العشب هي لقطع الحشائش وليس السجاد,كنس السجادة بالمكنسة الكهربائية,أنت لا تقليم السجاد.
25,أنا أقود دراجة,الدراجة ممسكة وليست مدفوعة,أنت تركب دراجة لا تقودها,أنت تركب دراجة.
26,أنا ألبس فيل,الفيل حيوان بري,لا ترتدي الفيلة الملابس عادة,الفيلة ليست لارتداء الملابس.
27,أطبخ كرة القدم جيداً,كرة القدم هي شيء تلعب به وليس شيئًا نأكله,كرات القدم ليست طعامًا ، وبالتالي فهي غير مطبوخة.,لا يمكنك طهي كرة القدم.
28,السيارة وسيلة جيدة جدا للنقل المائي,السيارة هي وسيلة النقل البري,السيارات ليست وسائل نقل جيدة,السيارات لا تطفو في الماء.
29,يتم اصطحاب كلب إلى حمام السباحة بعد إصابته بالمرض,لا يوجد في المسبح أي رعاية طبية للحيوانات,لا يوجد أطباء في المسبح.,لا يحتوي المسبح على دواء لإصلاح الكلب.
30,ركبت دراجتها إلى القمر.,المتجر مكان معقول لركوب الدراجة ، ولا يمكننا ركوب دراجتنا إلى الفضاء الخارجي أو القمر.,هذا مستحيل.,لا توجد طريقة صلبة للقمر ، لا يمكن للدراجة أن تتحرك إلى القمر.
31,صبي يغلق,يمكن للصبي أن ينام ، ولكن لا يمكن للصبي أن يغلق,لا يغلق البشر عادة ، وعادة ما يستخدم الإغلاق لوصف التكنولوجيا.,لا يمكن للإنسان أن يغلق
32,زرع بذور الخيار في الأريكة.,يحتاج الخيار إلى ظروف حديقة لينمو بدلاً من الأريكة.,الأريكة ليست المكان الذي تزرع فيه البذور.,ليس من المناسب زرع الأشياء في الأريكة.
33,ألعب على موقد الغاز الخاص بي,موقد الغاز هو معدات لطهي الطعام,موقد غاز للطبخ.,موقد الغاز ليس لعبة.
34,النجوم تقرأني,النجوم ليس لها عيون,النجوم لا تستطيع القراءة,يقرأ الناس النجوم وليس العكس.
35,صبي يغلق الباب,يمكن إغلاق الباب ولكن لا يمكن إغلاق الباب,لا يمكن إغلاق الباب.,لا يُفتح الباب أبدًا ، لذا لا يمكن إغلاقه.
36,قرأ نافذة طويلة جدا الملك توت.,الكتب لها صفحات وكلمات للقراءة ، بينما النوافذ لا تخدم غرضًا مختلفًا.,لا يمكنك قراءة النافذة.,لا يستطيع قراءة النافذة.
37,لقد فقد هاتفه في فم غريفين.,غريفين مخلوق أسطوري غير موجود.,جريفين غير موجود ولذلك هذا غير ممكن,لا يوجد شيء اسمه غريفين
38,كان لدى سارة كوب من البنزين,شرب البنزين خطر على حياة المرء,لا تستطيع سارة شرب البنزين,لا يشرب الناس البنزين عادة
39,احتفظ بكرسي داخل الثلاجة,الكرسي أكبر من الثلاجة,كرسي لا يتسع داخل الثلاجة.,الكرسي أكبر من أن يوضع في الثلاجة.
40,قرأت نمر,النمر ليس لديه رسائل على نفسها,النمر ليس كتابا أو جملة ، إنه كائن حي.,لا يمكن قراءة النمر.
41,أنا أستخدم الإنترنت على الراديو الخاص بي,لا يمكن استخدام الإنترنت في الراديو,يمكنك استخدام الإنترنت للاستماع إلى الراديو,الراديو لا يستخدم الإنترنت
42,قادت أطفالها إلى القمر.,لا يمكن الوصول إلى القمر بالسيارة.,القمر في الفضاء.,القمر في الفضاء الخارجي.
43,هبطت بالمظلة إلى محل البقالة من طائرة.,إذا قفزت من طائرة لإحضار البقالة ، فلن يكون لديك طريقة لإعادتها إلى المنزل.,لا يمكنك الهبوط داخل متجر,هذا مكان يجب أن تمشي أو تقود إليه.
44,سبحت الأسماك في الصحراء.,الصحراء ليس فيها ماء ، لذلك لا يمكن للأسماك أن تسبح هناك.,الصحراء جافة ولا يوجد بها ماء والأسماك بحاجة للماء للسباحة,الصحراء بلا ماء.
45,كان هناك مخلوق جليدي ميت يمشي في الثلج.,مخلوقات الجليد الميت غير موجودة.,الأشياء الميتة لا تستطيع المشي.,المخلوقات الميتة لا تمشي.
46,أنا أسبح تحت صنبور,لا توجد مياه كافية تحت الحنفية للسباحة,أنت تسبح في البرك أو البحار أو الأنهار عادة,أنا أسبح في بركة.
47,الإنسان يأكل الجبال,الجبل أكبر بكثير من الإنسان,الجبل غير صالح للأكل.,الجبال ليست طعامًا.
48,رأت جين زرافة في حقيبتها.,المحفظة صغيرة جدًا بحيث لا يمكن للزرافة أن تكون بداخلها.,لن تناسب الزرافة.,GIRAFFE أكبر من الحقنة لذا فهي غير ممكنة
49,نستخدم الكتاب لمعرفة الوقت,كتاب يستخدم للدراسة,لا يملك الكتاب القدرة على إظهار الوقت.,الكتب لا تخبرنا بالوقت
50,كنت ألعب كرة السلة بحجر,أنت بحاجة إلى كائن كذاب للعب كرة السلة ، والصخرة لا ترتد,عادة ما يستخدم الناس كرة من نوع ما للعب كرة السلة,الصخرة لن ترتد
51,أخذت مريم عثتها في نزهة على الأقدام,من غير المعتاد الاحتفاظ بعثة كحيوان أليف,العثة لا تمشي.,لا يمكنك المشي حشرة بشكل فعال.
52,أحب الاستماع إلى الألوان أثناء التنقل,لا يمكن سماع الألوان,الألوان ليس لها صوت.,الألوان لا تصدر صوتًا.
53,أنا أجري في الهواء,لا يمكن المشي في الهواء,الهواء ليس صلبًا للتشغيل.,الجاذبية تبقينا على الأرض.
54,كانت هناك امرأة شقراء تركب تنينًا.,التنين غير موجود.,لسوء الحظ ، لا توجد التنانين وبالتالي لا تستطيع المرأة (شقراء أو غير ذلك) ركوبها,التنانين ليست حقيقية.
55,أكل الكتاب,الكتاب ليس طعاما,الكتب ليست صالحة للأكل,الكتاب ليس طعاما.
56,أكل جيك مانجو صناعي,لا يمكن للإنسان أن يأكل الفاكهة المصنعة,المانجو الاصطناعي ليس طعامًا حقيقيًا لذا فهو غير صالح للأكل.,الأطعمة الاصطناعية ليست ، بحكم تعريفها ، الأطعمة الفعلية التي تحاكيها.
57,الطفل يأخذ القاموس,انها ثقيلة جدا,طفل لا يقرأ لذا لن يأخذ قاموسًا A baby doesn't read so wouldn't take a Dictionary,القواميس عبارة عن كتب ثقيلة لا يستطيع الطفل حملها أو حملها.
58,كانت المدرسة مفتوحة للصيف,عادة ما يكون الصيف هو وقت الإجازة للمدرسة,المدارس مغلقة في الصيف لقضاء عطلة.,في معظم البلدان المدارس خارج الصيف.
59,بكت الشوكولاتة,الشوكولاتة مادة صلبة تذوب لذا لا يمكنها البكاء,الشوكولاته لا تبكي,الشوكولاتة شيء غير حي وغير بشري ولا يمكنها البكاء.
60,توجد حفلات شواء في منتصف برنامج تلفزيوني,حفلات الشواء هي شيء مادي لا يشبه الإعلانات التجارية,لا يمكن وضع حفلات الشواء في برنامج تلفزيوني.,حفلات الشواء في الحدائق أو الساحات ، وليس في منتصف البرامج التلفزيونية
61,لقد كان متعبا وذهب لركوب سيارته.,لا ينبغي للمرء أن يقود سيارته عندما يكون متعبًا.,السيارة ليست مكانا للنوم.,إذا كنت متعبًا فأنت تريد النوم وينام الناس في الأسرة
62,أنت لا تتقيأ أبدًا بعد أن تثمل,الكثير من الكحول في جسمنا يجعلنا نتقيأ,يمكن أن يسبب تناول الكحول بكميات كبيرة الغثيان ويؤدي إلى القيء لكثير من الناس.,شرب الكحول يمكن أن يجعل الناس يتقيأون.
63,يمكنك استخدام قنديل البحر لإجراء الشيكات.,قنديل البحر مخلوق بحري لا يقصد منه حمل أي شيء.,قنديل البحر يعيش في البحر والماء يفسد الشيكات.,قنديل البحر هلامي جدا لحمل الأشياء
64,المحامون هم أشخاص يلعبون شخصيات في التلفزيون أو المسرح,المحامون هم أشخاص يقدمون المساعدة القانونية,المحامون الحقيقيون لا يلعبون الشخصيات على التلفزيون أو المسرح,يدافع المحامون عن المتهمين بارتكاب جرائم أو يقاضونها.
65,قادت زرافة سيارة,الزرافة أكبر من أن تتسع للسيارة,لا تستطيع الزرافات قيادة السيارة أو حتى وضعها داخلها.,لن تتسع الزرافة داخل السيارة.
66,كلب صغير يسمى قطة,القطة هي قطة صغيرة,هريرة هي قطة صغيرة,القطة هي قطة صغيرة.
67,ذهب الببغاء للعمل,الببغاوات ليس لديها وظائف,الببغاوات حيوانات وليس لديها وظائف.,الببغاء لا يعمل
68,ابنتي تستحم دائمًا في حوض المطبخ وتتجنب حوض الاستحمام,حوض المطبخ ليس كبيرًا بما يكفي للاستحمام فيه,حوض المطبخ أصغر ويصعب الوصول إليه من حوض الاستحمام.,ابنتي كبيرة جدًا بحيث لا يمكن وضعها في الحوض
69,قتله بلغة برمجة,لغة البرمجة ليست سلاحا,لا يمكن لأي شخص قتل شخص بلغة برمجة,تعيش لغة البرمجة في عالم افتراضي وليس في العالم المادي بشكل قد يقتل شخصًا ما
70,شاركت السينما معهم الفشار,لا يمكنك مشاركة الطعام مع مؤسسة,السينما ليست بشخص.,السينما غير قادرة على المشاركة.
71,رائحة الطعام الفاسد لطيفة.,الطعام الفاسد يتحلل وينتج غازات سامة كريهة الرائحة.,رائحة الطعام الفاسد كريهة,الطعام الفاسد ليس طازجًا ولكنه خرج لذا لا رائحة طيبة.
72,ممثل يرتدي محمصة خبز.,المحامص ليست ملابس,محمصة في منتج كهربائي وليس ملابس.,المحمصة عبارة عن جهاز كهربائي لا يمكن ارتداؤه.
73,نام الرجل على البركان.,الأسرة مريحة بشكل عام بينما تسبب البراكين الدمار.,البراكين شديدة الحرارة وقد تقتل أي شخص ينام على أحدها.,البراكين شديدة الحرارة ولن يتمكن المرء من النوم إذا بقي على قيد الحياة على الإطلاق.
74,تحدثت إلى شبح على الباب.,الأشباح لا وجود لها.,شبح غير مرئي للحديث,الشبح ليس رجلاً
75,لن ترى مدرسًا أبدًا داخل المدرسة.,تتطلب المدرسة معلمين لتشغيل وتعليم التلاميذ بحيث يكون المعلم دائمًا في المدرسة.,يعمل المعلمون في المدارس لذلك ستراهم دائمًا هناك,يعمل المعلمون في المدارس.
76,تقطع بيتزا بلوحة إعلانية.,لوحة الإعلانات أكبر بكثير من البيتزا.,لا تستخدم اللوحات الإعلانية للتقطيع.,اللوحات الإعلانية كبيرة جدًا لتقطيع البيتزا بها
77,بنوا الشمس,الشمس كائن طبيعي تم إنشاؤه من الفضاء,لم يقم أحد ببناء الشمس.,خلقت الشمس بشكل طبيعي.
78,وضع الرجل بعض المباني في الميكروويف,لا يقوم الناس بتدفئة المباني في الميكروويف,البراعم لا تتناسب مع أفران الميكروويف,المباني لا تتسع داخل الميكروويف.
79,كان هناك دجاجة تطير.,الدجاج لا يطير.,لا يطير الدجاج في كثير من الأحيان.,الدجاج لا يطير
80,لعب البقرة بشكل جيد جدا,الأبقار ليست آلات موسيقية,البقرة حيوان وليست آلة موسيقية,أنت لا تلعب بقرة
81,أنت لا تزال على قيد الحياة إذا لم يكن لديك دقات قلب.,نبضات قلبك هي التي تبقيك على قيد الحياة وتتنفس عن طريق نقل الدم حتى بدونها أنت ميت.,إذا لم يكن لدى الإنسان دقات قلب ، فهو ليس على قيد الحياة.,يجب أن ينبض القلب من أجل كائن حي ليبقى على قيد الحياة.
82,قفز عليه الترامبولين,الترامبولين ليس واعيًا ولا يمكنه القفز,لا تزال الترامبولين أشياء لا تقوم بأفعال.,الترامبولين لا يمكنه القفز
83,تقوم جورجيا تك بتدريب التنانين,التنين ليس مخلوقا موجودا,التنانين غير موجودة,جورجيا للتكنولوجيا تدرب الناس
84,كانت ذاهبة إلى المدرسة في صندوق الغداء,صندوق الغداء عبارة عن حاوية لحمل الطعام,لن يصلح أي شخص داخل صندوق الغداء.,من المستحيل السفر إلى أي مكان في صندوق الغداء
85,يتم إصلاح القمر وهكذا يعود إلى درجة الكمال,لا يتغير حجم القمر ، فالضوء الذي يساعدنا على رؤيته يتغير ويؤثر على الشكل الذي يبدو لنا,القمر غير مكسور ولا يتم إصلاحه,القمر لا ينكسر عندما لا يكتمل
86,دفع الرجل الفاتورة بالماء.,لا تصمد المياه عادة عندما يكون المال ملموسًا.,الماء ليس عملة.,لا أحد يدفع الفاتورة بالمياه ، فالمياه ليست وسيلة للدفع.
87,أنت تطبخ الموسيقى,الموسيقى غير قابلة للطهي,الموسيقى ليست شيئًا يمكن لمسه ، لذلك لا يمكن طهيه,أنت لا تطبخ الموسيقى ، أنت تصنع الموسيقى.
88,هي تكتب القصة في الماء,الماء ليس لديه القدرة على إظهار رسائل القصة,لن يبقى الماء ساكناً لذا لا يمكنك الكتابة فيه.,لا يمكنك الكتابة على الماء
89,التخزين في كل جهاز كمبيوتر غير محدود.,مساحة الكمبيوتر محدودة في مكان مغلق ، لذا لا يمكن أن تكون مساحة التخزين غير محدودة.,أجهزة الكمبيوتر لها مساحة تخزين محدودة,الكمبيوتر لديه مساحة تخزين محدودة
90,الناس لا يبكون إلا عندما يكونون غاضبين.,البكاء هو استجابة طبيعية للحزن ويبكي كثير من الناس عندما يكونون حزينين للتعبير عن هذا الشعور.,الناس يبكون لأسباب عديدة مختلفة ، ليس فقط عندما يكونون غاضبين,الناس يبكون لأسباب عديدة ومختلفة.
91,يحب معظم الناس تناول الهامبرغر والحلوى في الصباح.,الهامبرغر هو غداء أو عشاء ، والحلوى حلوى.,يجد معظم الناس الهامبرغر وجبة ثقيلة وينصح بتناول شيء خفيف على الإفطار.,الهامبرغر والحلوى خيارات غداء أو عشاء وليست وجبة إفطار.
92,ضرب فرانك ويل بوسادة مما تسبب له في الألم,الوسادة أنعم من الحجر ولا تسبب إصابات,الوسائد ناعمة ولا تسبب الألم إذا ألقيت على أحد,الوسائد خفيفة وناعمة ولا يمكن أن تسبب الألم.
93,وضع الجورب على الطبل.,الطبل أكبر بكثير من الجورب.,لا تناسب الجوارب الطبول,الطبل لا يرتدي الملابس.
94,حلق اسنانه,لا يوجد شعر على الأسنان,الأسنان ليس لديها شعر.,لا يحلق الإنسان أسنانه.
95,وضعت الخردل على نجمة.,النجم بعيد جدًا عن شخص ما ولكنه بهار.,النجم ليس طعام.,النجوم هي وسيلة بعيدة جدًا لوضع أي شيء عليها باستثناء سفينة الفضاء.
96,يرتدون بدلات غيلي للخروج,هناك حاجة إلى أحذية للمشي في الخارج,بدلة غيلي لغرض خاص.,لا تُلبس بدلات Ghillie بالخارج.
97,كان يلعب بالثلاجة,الثلاجة هي أداة وليست آلة موسيقية,الثلاجة ليست أداة.,لا يمكنك لعب الثلاجة.
98,لا يسمح للشخص بزيارة أقاربه.,زيارة أحد الأقارب حق إنساني ولا توجد قوانين ضده ، لذا يمكنك زيارة أحد الأقارب.,الأقارب قادرون على زيارة بعضهم البعض.,كثيرا ما يزور الناس الأسرة.
99,الأحذية الضيقة مريحة.,الأحذية الضيقة تجعل المشي لا يطاق.,الأحذية الضيقة تؤذي القدمين,إذا كانت الأحذية ضيقة فهي غير مريحة
100,يعتبر انخفاض ضغط الدم وسيلة خطرة للنظام الغذائي وفقدان الوزن.,خفض ضغط الدم المرتفع ، وفقدان الوزن هو نتيجة الأكل الصحي وممارسة الرياضة.,إنقاص الوزن يخفض ضغط الدم,إن انخفاض ضغط الدم ليس وسيلة لاتباع نظام غذائي
101,يمكن للنباتات أن تصنع أجهزة الكمبيوتر,أجهزة الكمبيوتر ليست منتجات عضوية وهي من صنع الإنسان,النباتات غير قادرة على صنع أجهزة الكمبيوتر.,تصنع النباتات الأكسجين والفواكه والخضروات فقط وليس الأشياء المصنوعة من البلاستيك مثل أجهزة الكمبيوتر
102,يحب صديقي أكل السلع الإلكترونية.,لا أحد يستطيع هضم السلع الإلكترونية.,يجب عدم تناول المنتجات الإلكترونية,ستموت إذا أكلت الإلكترونيات
103,أوروبا في فرنسا,أوروبا قارة لكن فرنسا دولة,أوروبا مساحة أكبر من فرنسا.,أوروبا قارة وهي أكبر من أن تكون في بلد صغير مثل فرنسا.
104,قاد سيارته إلى القمر,لا يوجد طريق يؤدي إلى القمر,القمر في الفضاء الخارجي.,من المستحيل الوصول إلى القمر بالسيارة
105,عيد ميلاد الأطفال هو اليوم الذي التقى فيه آباؤهم.,يشير عيد الميلاد إلى اليوم الذي ولدت فيه كوسيلة للإشارة إلى عمرك ، لذلك لا يمكن أن يكون اليوم الذي التقى فيه والديك.,يوم ولادتهم هو يوم ولادتهم,لا يولد الطفل في يوم لقاء الوالدين.
106,محلات أغنام في وول مارت,وول مارت هو متجر للأشخاص وليس الحيوانات,الأغنام لا تتسوق في أي مكان.,الأغنام لا تتسوق
107,لا يمكنك أن تسكر من الكحول.,الكحول هو الشيء الوحيد الذي يمكن أن تسكر منه ، وبشربه ، يصبح عقلك في حالة سكر.,الكحول ، بطبيعته الكيميائية ، له تأثير مسكر.,شرب الكحول سيشرب الشخص في النهاية.
108,أطلق صنبور النار رصاصة,لا تحتوي صنابير إطفاء الحرائق على آليات إطلاق,صنابير إطفاء الحرائق غير حية لذلك لا يمكنها فعل أي شيء,صنبور إطفاء الحريق ليس به ذخيرة.
109,الغابة هي منطقة مغطاة بالثلوج,تشكل كثرة الأشجار غابة ، ووجود الثلج أو عدم وجوده لا علاقة له بالموضوع,لا يتم تغطية الغابات دائمًا بالثلج.,عادة ما تكون الغابات مغطاة بالأشجار ، وهذا ما يجعلها غابة
110,بناه البناء,المبنى ليس على قيد الحياة,مبنى ليس على قيد الحياة أو متحرك.,لا يمكن للبناء أن يفعل أي شيء.
111,العشب يغني.,ليس للعشب صوت أو فم لإحداث ضوضاء.,العشب لا يغني,العشب ليس حيا وليس له فم.
112,قطعت اللحم بالثلاجة.,الثلاجة أكبر بكثير من اللحوم.,لا يمكن أن تمسك الثلاجة في يدك.,الثلاجة ليست حادة ولا يمكنها تقطيع الطعام.
113,ركضت إلى السماء.,لا يمكنك الركض في السماء ، لأنك ستذهب إلى السماء باستخدام صاروخ الفضاء.,يجب أن أبقى على اتصال بالأرض عندما أركض,من المستحيل على البشر الوصول إلى السماء بدون مساعدة الطائرات. الجاذبية تجعل هذا مستحيلاً.
114,لا أحد يستخدم الأقلام للكتابة بها.,تم صنع الأقلام لاستخدامها في الكتابة وهي أداة كتابة شائعة يستخدمها الناس لأنها فعالة.,كل شخص يستخدم الأقلام,الأقلام هي أداة كتابة يستخدمها كثير من الناس.
115,يسبح الحوت في حوض الاستحمام.,الحوت أكبر بكثير من حوض الاستحمام.,الحيتان حيوانات كبيرة ولا يمكن وضعها في أحواض الاستحمام.,لا يمكن لأحواض الاستحمام القياسية حمل الحوت.
116,لن يلكم الملاكم أبدًا في مباراة ملاكمة.,يحتاج الملاكم إلى اللكم في مباراة ملاكمة لتسجيل النقاط والفوز. الحكم يجعلهم يثقبون.,إذا لم تقم بضرب مباراة ملاكمة فلا يمكنك الادعاء بأنك ملاكم,مباراة الملاكمة هي كل شيء عن الملاكمة.
117,كان هناك شخص يشرب حامض الكبريتيك.,لا يشرب الناس حامض الكبريتيك لأنه يقتلهم.,حمض الكبريتيك غير صالح للأكل.,قد يقتل حامض الكبريتيك أي شخص ، لذلك لا يشربه الناس عادة.
118,شربت كوبا من الإطارات.,لا يمكن شرب الإطارات.,الإطارات لا تناسب الكوب,لا يستطيع البشر شرب الإطارات.
119,كان يغير قنوات التلفاز بواسطة مفك البراغي,مفك البراغي هو أداة ميكانيكية سلبية,مفكات البراغي لا يمكنها التحكم في التلفاز.,مفك البراغي لا يتحكم في التلفزيون
120,سبحت الزرافة عبر المحيط,يمكن للحوت أن يسبح أفضل بكثير من الزرافة,تعيش الزرافات على الأرض.,الزرافات حيوانات برية ولا تسبح في المحيطات
121,نقل مدينة إلى متعلقاته,المدينة أكبر من أن تتناسب مع أي متعلقات يمتلكها الشخص.,المدن ليست متنقلة ولديها بنى تحتية مثبتة لا يمكن نقلها من مكان إلى آخر.,المدينة مكان ولا يمكن نقلها.
122,وضع الآيس كريم في الخزانة,سيذوب الآيس كريم بسهولة في الخزانة,سيذوب الآيس كريم في الخزانة ، لذا فمن غير المرجح أن يضعه هناك.,سيذوب الآيس كريم في الخزانة
123,كان الناس مليئين بالطائرات,الطائرات أكبر بكثير من الناس,لا يمكن أن يكون الناس مليئين بالطائرات ، لكن الطائرة يمكن أن تمتلئ بالناس,الطائرات أكبر من البشر.
124,ذهبت إلى المحل لشراء الأيدي,لا يمكنك شراء يد من متجر.,لا يمكنك شراء الأيدي في المتاجر أو المحلات التجارية.,لا يمكن شراء اليدين من المتجر.
125,أخذ الرصيف إلى سلة المهملات.,لا يمكنك أن تأخذ كبحًا من مكانها.,الرصيف أثقل بكثير,الرصيف هو مكان.
126,أشعلت أليس صخرة في الليل,لا يمكن إشعال الصخور بسهولة,الصخور لا تشتعل فيها النيران.,أليس لا تستطيع أن تضيء صخرة
127,طارت على بيتزا.,لا تحتوي البيتزا على محركات لتسييرها بالطائرة.,البيتزا لا تطير.,طارت على متن طائرة
128,يمكن للموسيقي إجراء عملية جراحية,يمكن فقط للجراح المؤهل إجراء الجراحة,إذا كان الشخص موسيقيًا ، فهذا لا يعني أنه قادر على إجراء الجراحة,يتم تدريب الموسيقيين على تخصص الموسيقى وليس الجراحة
129,غسلت أسنانها بشاحنة.,الشاحنة أكبر من السن.,لن تنظف الشاحنة الأسنان.,لا ينظف الشخص أسنانه بشاحنة
130,دخل المنزل الرجل,المنزل أكبر من الرجل,المنزل أكبر من أن يدخله الرجل,البيت شيء لا يدخله شيء ولا سيما الرجل.
131,وضع حوتًا على الرف.,الحوت كبير جدًا بحيث لا يمكن وضعه على الرف.,الحيتان كبيرة جدًا بحيث لا يمكن وضعها في أي رف.,الحوت أكبر من الرف.
132,أكلت جيل المعالج في كتابها.,لا يمكنك أكل المعالجات.,إذا كان المعالج في الكتاب ، فهو تخيلي ولا يمكن أكله,يمكن للسحرة حماية أنفسهم من الأكل.
133,يسافر بجهاز كمبيوتر محمول للوصول إلى المكتب.,الكمبيوتر المحمول ليس وسيلة يمكن قيادتها.,يستخدم جهاز كمبيوتر محمول في المكتب,لا توفر أجهزة الكمبيوتر المحمولة النقل المادي
134,يشتري كتابا ليأكله.,الكتاب ليس للأكل.,الكتب ليست صالحة للأكل,الكتب ليست صالحة للأكل.
135,يذوب الجدول في درجة حرارة الغرفة.,الجدول لا يذوب في درجة حرارة الغرفة.,الطاولات لا تذوب.,الطاولات لا تذوب
136,مشى إلى المريخ,المريخ كوكب آخر,لا يمكنك المشي في الفضاء الخارجي.,الطريقة الوحيدة للوصول إلى المريخ هي بواسطة سفينة الفضاء.
137,رفع الجرار بيديه.,الجرار ثقيل جدًا بحيث لا يمكن رفعه بيديه.,الجرارات ثقيلة للغاية,الجرار ثقيل جدًا بحيث لا يمكن رفعه بيديك.
138,قطع دوايت أسفل الجبل,الجبال أكبر بكثير من الأشجار,لا يمكن قطع جبل.,الجبال أكبر من أن يتم قطعها
139,سبح في الحمم البركانية,الحمم البركانية ساخنة جدًا للسباحة فيها,سوف يموت إذا فعل ذلك,ستموت في الحمم البركانية
140,وضع حصان في محفظته.,الحصان أكبر بكثير من المحفظة.,لا يمكن لأي شخص وضع حصان في المحفظة ، فلن يصلح ذلك,الحصان كبير جدًا بحيث لا يمكن وضعه داخل المحفظة.
141,كتبت المرأة القصة بملعقة على الورق,لا يمكن لأي شخص أن يكتب شيئًا بالملعقة.,لا يستخدم الإنسان الملعقة في الكتابة,تستخدم الملاعق للأكل وليس للكتابة.
142,أكلت لبنة,لا يمكن أكل الطوب,يأكل الناس الطعام والطوب ليس طعامًا كما أنه من الصعب جدًا مضغه.,الطوب لا يسمح للأكل
143,السيوف تستخدمني,السيف ليس حيا,السيوف جماد,السيوف ليست على قيد الحياة
