id,sent0,sent1,label
43,قاد +ت سار +ة ال+ سيار +ة إلى محل ال+ بقال +ة .,قفز +ت سار +ة ب+ ال+ مظل +ة من ال+ طائر +ة الى محل ال+ بقال +ة .,1
44,تسبح ال+ أسماك في ال+ صحراء .,تسبح ال+ أسماك في ال+ محيط .,0
45,كان هناك رجل يمشي في ال+ ثلج .,كان هناك مخلوق جليد ميت يمشي في ال+ ثلج .,1
46,أنا أسبح تحت ال+ صنبور,أنا أسبح في حوض ال+ سباح +ة,0
47,شخص يأكل ال+ طماطم,شخص يأكل ال+ جبال,1
48,رأ +ت جين زراف +ة في حديق +ة ال+ حيوان +ات .,رأ +ت جين زراف +ة في حقيب +ت +ها .,1
49,نستخدم ال+ ساع +ة ل+ معرف +ة ال+ وقت,نستخدم ال+ كتاب ل+ معرف +ة ال+ وقت,1
50,+كن +ت ألعب كر +ة ال+ سل +ة ب+ ال+ كر +ة,+كن +ت ألعب كر +ة ال+ سل +ة ب+ صخر +ة,1
51,أخذ +ت ماري كلب +ها في نزه +ة,أخذ +ت ماري فراش +ها في نزه +ة,1
52,أحب ال+ استماع إلى ملف +ات تسجيل +ات ال+ أغاني أثناء ال+ تنقل,أحب ال+ استماع إلى ال+ ألوان أثناء ال+ تنقل,1
53,أركض في ال+ هواء,أركض على ال+ أرض,0
54,كان +ت هناك امرأ +ة شقراء تركب تنين .,كان +ت هناك امرأ +ة شقراء تركب فيلا في إفريقيا .,0
55,هو أكل ال+ كتاب,هو أكل تفاح +ة,0
56,أكل جاك مانجو اصطناعي,جاك أكل ال+ مانجو,0
57,ال+ طفل يأخذ ال+ ألعاب,ال+ طفل يأخذ ال+ قاموس,1
58,كان +ت ال+ مدرس +ة مفتوح +ة في ال+ صيف,كان +ت ال+ مدرس +ة مفتوح +ة في ال+ خريف,0
59,بكت ال+ شوكولات +ة,ذاب +ت ال+ شوكولات +ة,0
60,هناك إعلان +ات تجاري +ة في منتصف برنامج تلفزيوني,هناك حفل +ات شواء في منتصف برنامج تلفزيوني,1
61,كان متعب +ا ف+ ذهب إلى سيار +ت +ه .,كان متعب +ا ف+ ذهب إلى فراش +ه .,0
62,في بعض ال+ أحيان تتقيأ بعد أن تسكر,لا تتقيأ أبد +ا بعد أن تسكر,1
63,يمكن +ك استخدام قنديل ال+ بحر ل+ إجراء ال+ شيك +ات .,يمكن +ك استخدام حامل دفتر ال+ شيك +ات ل+ إجراء ال+ شيك +ات .,0
64,ال+ محام +ون هم ال+ أشخاص الذين يلعب +ون ال+ شخصي +ات في ال+ تلفزيون أو ال+ مسرح,ال+ ممثل +ون هم ال+ أشخاص الذين يلعب +ون ال+ شخصي +ات في ال+ تلفزيون أو ال+ مسرح,0
65,قاد +ت ال+ زراف +ة سيار +ة,قاد ال+ رجل سيار +ة .,0
66,كلب صغير يسمى هرير +ة,كلب صغير يسمى جرو,0
67,ذهب ال+ ببغاء ل+ ال+ عمل,ذهب ال+ رجل إلى ال+ عمل,0
68,ابن +ت +ي تستحم دائم +ا في حوض ال+ مطبخ و+ تتجنب حوض ال+ استحمام,ابن +ت +ي تستحم دائم +ا في ال+ حمام و+ تتجنب حوض ال+ استحمام,0
69,قتل +ه ب+ سكين,قتل +ه ب+ لغ +ة برمج +ة,1
70,تشارك +ت ال+ سينما مع +هم ال+ فشار,تشارك +وا ال+ فشار في ال+ سينما,0
71,عاد +ة ما يكون ل+ ال+ طعام ال+ فاسد رائح +ة كريه +ة .,عاد +ة ما يكون ل+ ال+ طعام ال+ فاسد رائح +ة زكي +ة .,1
72,ممثل يرتدي آل +ة تحميص ال+ خبز .,يمكن ل+ ال+ ممثل ارتداء زي ل+ ال+ تمثيل .,0
73,نام ال+ رجل في ال+ سرير .,نام ال+ رجل على ال+ بركان .,1
74,تحدث +ت إلى شبح عند ال+ باب .,تحدث +ت إلى رجل عند ال+ باب .,0
75,لن ترى معلم +ا داخل ال+ مدرس +ة أبد +ا .,س+ تجد معلم +ين في ال+ مدرس +ة .,0
76,قطع +ت بيتزا ب+ استخدام سكين .,قطع +ت بيتزا ب+ استخدام لوح +ة إعلاني +ة .,1
77,قام +وا ب+ بناء ال+ شمس,قام +وا ب+ بناء منزل .,0
78,وضع ال+ رجل بعض ال+ كعك في ال+ ميكروويف,وضع ال+ رجل بعض ال+ مباني في ال+ ميكروويف,1
79,كان هناك دجاج +ة طائر +ة .,كان هناك طائر يطير .,0
80,لعب ال+ بقر +ة ب+ شكل جيد ل+ ال+ غاي +ة,لعب ال+ قيثار +ة ب+ شكل جيد ل+ ال+ غاي +ة,0
81,إذا توقف +ت ضرب +ات قلب +ك ، يتم تصنيف +ك على أن +ك ميت .,أنت ما زل +ت على قيد ال+ حيا +ة إذا لم يكن ل+ ديك ضرب +ات قلب .,1
82,قفز علي +ه ال+ ترامبولين,قفز على ال+ ترامبولين,0
83,جورجيا تك هي مدرس +ة .,تقوم جورجيا تك ب+ تدريب ال+ تنين,1
84,كان +ت تذهب إلى ال+ مدرس +ة في حافل +ة,كان +ت تذهب إلى ال+ مدرس +ة في صندوق غداء,1
85,ال+ قمر يصبح ممتلئ +ا مر +ة واحد +ة تقريب +ا في ال+ شهر,يتم إصلاح ال+ قمر و+ ب+ هذه ال+ طريق +ة يعود ب+ ال+ كامل,1
86,دفع ال+ رجل ال+ فاتور +ة نقد +ا .,دفع ال+ رجل ال+ فاتور +ة ب+ ال+ ماء .,1
87,أنت تطبخ ال+ عشاء,أنت تطبخ ال+ موسيقى,1
88,تكتب ال+ قص +ة في ال+ ورق,تكتب ال+ قص +ة في ال+ ماء,1
89,ال+ تخزين في كل جهاز كمبيوتر غير محدود .,يمكن ل+ ال+ كمبيوتر أن ينفد من ال+ تخزين .,0
90,يبكي ال+ ناس فقط عندما يكون +ون غاضب +ين .,يبكي ال+ ناس عندما يكون +ون حزين +ين .,0
91,يحب معظم ال+ ناس تناول ال+ قهو +ة و+ ال+ كعك في ال+ صباح .,يحب معظم ال+ ناس تناول ال+ هامبرغر و+ ال+ حلوى في ال+ صباح .,1
92,ضرب فرانك ويل ب+ حجر تسبب ل+ +ه ال+ ألم,ضرب فرانك ويل ب+ وساد +ة تسبب +ت ل+ +ه ال+ ألم,1
93,وضع ال+ جورب على ال+ طبل .,وضع جورب +ا على قدم +ه .,0
94,حلق أسنان +ه,حلق لحي +ت +ه,0
95,وضع +ت ال+ خردل على نجم +ة .,وضع +ت ال+ خردل على حشيش +ة ال+ ذر +ة .,0
96,كان +وا يرتد +ون أحذي +ة ل+ ال+ مشي في ال+ خارج,يرتد +ون بدل +ات غيل +ي ل+ ال+ خروج,1
97,كان يعزف ال+ موسيقى,كان يعزم ال+ ثلاج +ة,1
98,يمكن ل+ ال+ شخص زيار +ة ال+ أقارب .,لا يسمح ل+ أي شخص ب+ زيار +ة أقارب +ه .,1
99,ال+ أحذي +ة ال+ ضيق +ة مريح +ة .,ال+ أحذي +ة ال+ ضيق +ة تسبب ال+ انزعاج .,0
100,يعد انخفاض ضغط ال+ دم طريق +ة خطير +ة ل+ ال+ نظام ال+ غذائي و+ فقدان ال+ وزن .,ال+ نظام ال+ غذائي طريق +ة رائع +ة ل+ خفض ضغط ال+ دم و+ فقدان ال+ وزن .,0
101,يمكن ل+ ال+ نبات +ات صنع أجهز +ة ال+ كمبيوتر,يمكن ل+ ال+ نبات +ات أن تصنع الكربوهيدرات,0
102,يحب صديق +ي أن يأكل طعام +ا غير نباتي,يحب صديق +ي أن يأكل ال+ سلع ال+ إلكتروني +ة .,1
103,أوروبا في فرنسا,فرنسا في أوروبا,0
104,قاد سيار +ت +ه إلى لندن,قاد سيار +ت +ه إلى ال+ قمر,1
105,عيد ميلاد ال+ أطفال هو ال+ يوم الذي التقى في +ه والد +ي +هم .,عندما يولد طفل ، يسمى ذلك ال+ يوم بعيد ميلاد +ه .,0
106,محل +ات ال+ أغنام في وول مارت,سيد +ة تسوق إلى وول مارت,0
107,لا يمكن +ك أن تسكر من ال+ كحول .,شرب ال+ كحول يجعل +ك في حال +ة سكر .,0
108,أطلق +ت ال+ بندقي +ة رصاص +ة,أطلق صنبور ال+ نار رصاص +ة,1
109,ال+ غاب +ة هي منطق +ة مغطا +ة ب+ ال+ ثلج,ال+ غاب +ة هي منطق +ة مغطا +ة ب+ ال+ أشجار,0
110,بنى ال+ مبنى ال+ شخص,قام ال+ شخص ب+ بناء ال+ مبنى,0
111,ال+ عشب ينمو .,ال+ عشب يغني .,1
112,قطع +ت ال+ لحم ب+ ثلاج +ة .,قطع +ت ال+ لحم ب+ سكين .,0
113,ركض +ت إلى ال+ حظير +ة .,ركض +ت إلى ال+ سماء .,1
114,لا أحد يستخدم ال+ أقلام ل+ ال+ كتاب +ة .,يكتب ال+ ناس مع ال+ أقلام .,0
115,يسبح ال+ حوت في حوض ال+ استحمام .,يسبح ال+ حوت في ال+ محيط .,0
116,ال+ ملاكم لن يلعب أبد +ا في مبارا +ة ملاكم +ة .,من ال+ مرجح أن يلقي ال+ ملاكم لكم +ة في مبارا +ة ملاكم +ة .,0
117,كان هناك شخص يشرب حمض ال+ كبريتيك .,كان هناك شخص يشرب ال+ ماء .,0
118,شرب +ت فنجان من ال+ إطار +ات .,شرب +ت فنجان من ال+ شاي .,0
119,كان يغير قنو +ات ال+ تلفزيون ب+ جهاز تحكم عن بعد,كان يغير ال+ قنو +ات ال+ تلفزيوني +ة ب+ مفك ال+ براغي,1
120,يسبح ال+ حوت عبر ال+ محيط,سبح +ت ال+ زراف +ة عبر ال+ محيط,1
121,نقل مدين +ة ل+ ممتلكات +ه,نقل أمتع +ت +ه إلى مدين +ة جديد +ة,0
122,وضع ال+ آيس كريم في ال+ فريزر,وضع ال+ آيس كريم في ال+ خزان +ة,1
123,كان +ت ال+ طائر +ة مليئ +ة ب+ ال+ ناس,كان ال+ ناس مليئ +ين ب+ ال+ طائر +ات,1
124,ذهب +ت إلى ال+ محل ل+ شراء ال+ خبز,ذهب +ت إلى ال+ متجر ل+ شراء ال+ يد +ين,1
125,أخذ ال+ رصيف إلى سل +ة ال+ مهمل +ات .,أخرج ال+ قمام +ة إلى ال+ رصيف .,0
126,أشعل +ت أليس شمع +ة في ال+ ليل,أضاء +ت أليس صخر +ة في ال+ ليل,1
127,طار +ت على بيتزا .,لقد تسلم +ت بيتزا .,0
128,يمكن ل+ ال+ موسيقي أن يعزف على آل +ة موسيقي +ة,يمكن ل+ ال+ موسيقي إجراء عملي +ة جراحي +ة,1
129,نظف +ت أسنان +ها ب+ شاحن +ة .,قام +ت ب+ تنظيف أسنان +ها ب+ فرشا +ة .,0
130,دخل ال+ بيت ال+ رجل,دخل ال+ رجل ال+ بيت,0
131,وضع حوت +ا على ال+ رف .,وضع برتقال +ة على ال+ رف,0
132,جيل أكل +ت ال+ معالج في كتاب +ها .,كتب جيل كتاب +ا عن ال+ معالج +ات .,0
133,يسافر ب+ ال+ حافل +ة ل+ ال+ وصول إلى ال+ مكتب .,يسافر ب+ واسط +ة كمبيوتر محمول ل+ ال+ وصول إلى ال+ مكتب .,1
134,يشتري برغر ل+ يأكل +ه .,يشتري كتاب +ا ل+ يأكل +ه .,1
135,يذوب ال+ جدول في درج +ة حرار +ة ال+ غرف +ة .,يذوب ال+ جليد في درج +ة حرار +ة ال+ غرف +ة .,0
136,مشى إلى ال+ مريخ,مشى إلى ال+ متجر,0
137,رفع ال+ دف ب+ يد +ي +ه .,رفع جرار ب+ يد +ي +ه .,1
138,قام جاك ب+ قطع جبل,قام جاك ب+ قطع شجر +ة,0
139,سبح في ال+ حمم ال+ بركاني +ة,سبح في ال+ بحير +ة,0
140,وضع بطاق +ة في محفظ +ت +ه .,وضع ال+ حصان في محفظ +ت +ه .,1
141,كتب +ت ال+ مرأ +ة ال+ قص +ة ب+ قلم رصاص على ال+ ورق,كتب +ت ال+ مرأ +ة ال+ قص +ة ب+ ملعق +ة على ال+ ورق,1
142,أكل +ت قالب طوب,أكل +ت موز +ة,0
143,ال+ سيوف تستخدمني,أنا أستخدم ال+ سيوف,0
144,جاك يقود سيار +ت +ه كل يوم,جاك يطير ب+ سيار +ت +ه كل يوم,1
145,كان +ت ب+ حاج +ة إلى ال+ اتصال ب+ والد +ت +ها لكن +ها لم تتمكن من ال+ عثور على هاتف +ها,كان +ت في حاج +ة إلى ال+ اتصال ب+ أم +ها لكن +ها لم تتمكن من ال+ عثور على مفاتيح سيار +ت +ها,1
146,قدم ال+ خضرو +ات على ال+ عشاء,قدم ال+ عالم على ال+ عشاء,1
147,ذهب إلى ال+ مطعم ل+ أن +ه يشعر ب+ ال+ جوع,ذهب إلى صالون ال+ تجميل ل+ أن +ه يشعر ب+ ال+ جوع,1
148,ضرب ال+ بيانو,عزف ال+ بيانو,0
149,ال+ يوم يكون 30 ساع +ة,ال+ يوم يكون 24 ساع +ة,0
150,ال+ كوب مخصص ل+ حمل سائل تخطط ل+ شرب +ه .,ال+ كوب مخصص ل+ حمل ال+ غاز الذي تخطط ل+ شرب +ه .,1
151,أنا لبس +ت ب+ نفس +ي,ألبس أسد +ا,1
152,ألقى سندان ال+ حداد في ال+ سل +ة .,ألقى ال+ كر +ة في ال+ سل +ة .,0
153,أحب أكل ال+ بيض ال+ مسلوق,أحب أكل ال+ آيس كريم ال+ مطبوخ,1
154,أكل رافع +ة .,أكل ال+ شواء .,0
155,رقص على ال+ ملعق +ة,رقص على ال+ أرض,0
156,ال+ مناظر ال+ طبيعي +ة هي لوح +ة أو صور +ة تركز على وجه ال+ شخص,ال+ صور +ة هي لوح +ة أو صور +ة تركز على وجه ال+ شخص,0
157,يفرك ال+ طفل ال+ طين على وجه +ه .,أكل ال+ طفل ال+ طين من على وجه +ه .,1
158,قام رجل ب+ تذويب ال+ دجاج ب+ استخدام ال+ ميكروويف .,قام رجل ب+ تذويب ال+ دجاج ب+ استخدام و+ لاع +ة .,1
159,كان يمشي على ال+ ماء,كان يسير على ال+ طريق .,0
160,سمك +ة قرش تقابل سمك +ة .,سمك +ة قرش تأكل سمك +ة,0
161,رفع +ت جرار .,رفع +ت كرسي .,0
162,تقوم ب+ إجراء مكالم +ة ب+ جانب ال+ موقد .,تقوم ب+ إجراء مكالم +ة هاتفي +ة .,0
163,تشرق ال+ شمس في ال+ نهار,تشرق ال+ شمس في ال+ ليل,1
164,ال+ فيل يأكل,ال+ كتاب يأكل,1
165,تكتب ال+ مرأ +ة في ال+ كتاب .,تكتب ال+ مرأ +ة في ال+ سماء .,1
166,بلد ال+ دنمارك موجود,بلد liegenpoofa موجود,1
167,لن تجد ال+ غبار على سطح ال+ مكتب .,شيء يمكن +ك ال+ عثور علي +ه على سطح ال+ مكتب هو ال+ غبار .,0
168,ال+ كلاب تأكل طعام ال+ كلاب .,ال+ كلاب تأكل أسلاك ال+ تمديد .,1
169,يحب ال+ أطفال قراء +ة ال+ قصص,يحب ال+ أطفال غسل ال+ ملابس,1
170,يمكن +ك ال+ استحمام في حوض ال+ استحمام,يمكن +ك ال+ استحمام في ال+ خلاط,1
171,كان +ت ال+ عمل +ة مصنوع +ة من ال+ فض +ة,كان +ت ال+ عمل +ة مصنوع +ة من ال+ جبن,1
172,يتم استخدام شوك +ة ل+ قطع ال+ خبز,يتم استخدام سكين ال+ خبز ل+ قطع ال+ خبز,0
173,تصنع ال+ عج +ة ب+ بيض ال+ حصان .,تصنع ال+ عج +ة من بيض ال+ دجاج .,0
174,استلقي +ت على ال+ سرير ل+ ال+ نوم,استلقي +ت على مياه ال+ برك +ة ل+ ال+ نوم,1
175,تجمد ال+ ماء على ال+ موقد .,ال+ ماء على ال+ موقد يغلي .,0
176,نسج ال+ عنكبوت شبك +ة .,نسج ال+ حصان شبك +ة,1
177,اشتر +ت ما +ين كرافت ل+ لعب على جهاز إكس بوكس ال+ خاص ب+ +ها,اشتر +ت ما +ين كرافت ل+ لعب مع كر +ة ال+ شبك +ة,1
178,وضع +ت ال+ هاتف في حقيب +ت +ها .,وضع +ت منزل في محفظ +ت +ها .,1
179,أخذ +ت ال+ كمبيوتر ال+ محمول في ال+ سيار +ة,أخذ +ت دباب +ة قتال في ال+ سيار +ة .,1
180,وضع ال+ حذاء في فم +ه,وضع ال+ حبوب في فم +ه .,0
181,وضع قبع +ة على رأس +ه,وضع إبريق شاي على رأس +ه,1
182,لن تجد كلب +ا يحب أكل ال+ لحوم أبد +ا .,حب ال+ كلب يأكل ال+ لحم .,0
183,هو فتح ال+ باب,ال+ باب فتح .,1
184,ركب سيار +ت +ه عبر ال+ محيط,ركب سيار +ت +ه عبر ال+ طريق ال+ سريع,0
185,أضع صال +ة ال+ بولينغ على ال+ أريك +ة,أضع كلبي على ال+ أريك +ة,0
186,كان +ت هناك نمل +ة ملفوف +ة حول شجر +ة .,كان هناك ثعبان ملفوف حول شجر +ة .,0
187,لعب ال+ بيانو ب+ أصابع +ه .,لعب ال+ بيانو ب+ سفين +ة .,1
188,سكين جيب عديم ال+ فائد +ة .,سكين ال+ جيب مفيد جد +ا .,0
189,أكل شطير +ة من لحم ال+ خنزير,أكل شطير +ة من لحم ال+ أسد,1
190,تعض ال+ قط +ة كر +ة مطاطي +ة .,ال+ قط +ة لدغ +ة سحاب +ة .,1
191,صعد +ت ال+ سمك +ة إلى ال+ سيار +ة و+ انطلق +ت,صعد ال+ رجل إلى ال+ سيار +ة و+ انطلق,0
192,كليفلاند هي دول +ة في أمريكا,أوهايو دول +ة في أمريكا,0
193,لقد قم +ت ب+ شوي كعك +ة خالي +ة من ال+ غلو +ت +ين .,خبز +ت كعك +ة خالي +ة من ال+ غلو +ت +ين .,0
194,يلعب ال+ تنس بكر +ة ال+ سل +ة,يلعب ال+ تنس بكر +ة ال+ تنس,0
195,كان هناك ال+ كثير من ال+ ناس يسحب +ون كتل +ة ضخم +ة عشر +ة أطنان .,كان هناك شخص يسحب كتل +ة ضخم +ة عشر +ة أطنان .,1
196,جهاز كمبيوتر يومي +ا يبعد ال+ أطباء,عبار +ة معنا +ها أن أكل ال+ تفاح يساعد ال+ إنسان على ال+ صمود و+ ال+ حفاظ على ال+ صح +ة,0
197,وضع +ت قميص +ا على قدم +ها .,وضع +ت ال+ حذاء على قدم +ها .,0
198,سقط ال+ مطر من ال+ سماء,ال+ حيتان تمطر من ال+ سماء .,1
199,يمكن ل+ ال+ طفل ال+ تنفس ال+ نار .,يمكن ل+ ال+ طفل إغلاق باب .,0
200,كان هناك حمار وحشي يصطاد أسد +ا .,كان هناك أسد يصطاد حمار وحشي .,0
201,طارد ال+ كلب ال+ قط .,طارد ال+ كلب ال+ سرير .,1
202,تستخدم ال+ مقاييس ل+ قياس ال+ مساف +ات بين ال+ أشياء,يتم استخدام ال+ مسطر +ة ل+ قياس ال+ مساف +ة بين ال+ أشياء,0
203,من ال+ مرجح أن يركل لاعب كر +ة قدم .,لن يركل لاعب كر +ة قدم أبد +ا .,1
204,ذهب في عطل +ة إلى ال+ دجاج,ذهب في عطل +ة ل+ تركيا,0
205,عندما يكون ال+ ظلام في ال+ منزل ، يمكن +ك تشغيل ال+ سخان +ات,عندما يكون ال+ ظلام في ال+ منزل ، يمكن +ك تشغيل ال+ ضوء,0
206,تعد ال+ وصف +ة طريق +ة رائع +ة ل+ طهي وجب +ة ال+ ذواق +ة و+ تجنب ال+ أخطاء ال+ طفيف +ة في ال+ مطبخ .,إن طهي و+ جبا +ت ال+ طعام هو ال+ طريق +ة ال+ أولى ل+ ارتكاب ال+ أخطاء مثل حرائق ال+ مطبخ .,1
207,يشرب ال+ بير +ة في كلب,يشرب ال+ بير +ة في كوب,0
208,عاد +ت ال+ عائل +ة من ال+ قمر,عاد +ت ال+ عائل +ة من ال+ سينما,0
209,ال+ سكر حلو ل+ ال+ بشر,ال+ سكر ضار ل+ ال+ بشر,1
210,كثير +ا ما تمطر في لندن,كثير +ا ما تمطر في ال+ صحراء,1
211,تناول ال+ رجل سيار +ة على ال+ عشاء,تناول ال+ رجل بيتزا على ال+ عشاء,0
212,غسل +ت شعر +ها ب+ ال+ شامبو,غسل +ت شعر +ها ب+ ال+ حليب,1
213,يمكن أن يكون ال+ مشي في ال+ حديق +ة مفيد +ا ل+ صح +ت +ك,يمكن أن يكون أخذ مكب نفاي +ات في ال+ حديق +ة مفيد +ا ل+ صح +ت +ك,1
214,شيء تجد +ه في دور +ة ال+ مياه هو زملاء ال+ عمل,شيء تجد +ه في دور +ة ال+ مياه هو ديناصور حي,1
215,قفز +ت في مياه ال+ برك +ة .,قفز +ت في ماء كوب .,1
216,تعيش في منزل .,تعيش في كر +ة ثلجي +ة .,1
217,جون يعزف على ال+ بيانو .,جون يعزف ال+ حليب .,1
218,لا يمكن +ك ترطيب نفس +ك ب+ شرب ال+ ماء .,ال+ ناس يشرب +ون ال+ ماء ل+ ترطيب أنفس +هم .,0
219,أتناول دوائي,دوائي يأخذني,1
220,سحب ال+ ماء من ال+ زجاج +ة .,سحب مروح +ة من ال+ زجاج +ة .,1
221,غد +ا هو يوم ال+ جمعه,غد +ا زجاج +ة ماء .,1
222,طهي سرير في ال+ مقلا +ة .,طهي ال+ حليب في ال+ مقلا +ة .,0
223,لا يمكن تنظيف ال+ أطباق ال+ متسخ +ة في غسال +ة ال+ صحون .,يمكن تنظيف ال+ أطباق ال+ متسخ +ة في غسال +ة ال+ صحون .,0
224,وضع قط +ة في مجلس ال+ وزراء .,وضع سمك +ة قرش في مجلس ال+ وزراء .,1
225,ال+ فتا +ة تحب أكل ال+ حلوي +ات .,ال+ فتا +ة تحب أكل ال+ بلاستيك .,1
226,نباح ال+ قط +ة على عامل ال+ بريد .,نبح ال+ كلب على ساعي ال+ بريد .,0
227,إذا +كن +ت تشرب ال+ كثير في ال+ حان +ة سوف تصبح ثمل +ا,إذا +كن +ت قبل أن تذهب إلى ال+ حان +ة و+ تشرب ال+ كثير ، ثم بعد ذلك تكون في حال +ة سكر,1
228,لعب +ت ال+ مرأ +ة ال+ تلفزيون,لعب +ت ال+ مرأ +ة كر +ة ال+ قدم,0
229,يطير ال+ نسر عميق +ا في ال+ محيط,طار ال+ نسر عالي +ا في ال+ سماء,0
230,ذهب +ت إلى ال+ حديق +ة يوم ال+ أحد,ذهب +ت إلى ال+ قمر يوم ال+ أحد,1
231,200 مائ +ة,100 مائ +ة,0
232,ركض +ت في ال+ مضمار .,ركض +ت في ال+ خزان +ة .,1
233,شرب عصير ال+ تفاح,كان يشرب ال+ ورق,1
234,كان +ت ال+ فتا +ة نائم +ة على ال+ أريك +ة,كان +ت ال+ فتا +ة نائم +ة على ملعق +ة,1
235,كتب +ت شيء على ال+ أرض,كتب +ت شيء على لوح +ة ال+ مفاتيح,0
236,طار +ت ال+ طائر +ة إلى تركيا,سبح +ت ال+ طائر +ة تركيا,1
237,زار طبيب أسنان ل+ فحص ألم أسنان +ه,زار ميكانيكي +ا ل+ فحص من آلام أسنان +ه,1
